,text,token,annotation
0,"Starting to work through the Google Go HelloWorld tutorial from:  

https://developers.google.com/appengine/docs/go/gettingstarted/helloworld

Using OS X 10.8.2 on MacBook Pro.

Followed the steps, but when I run the first code ( dev_appserver.py myapp/ ), I get errors listed at end of question.

This is the hello world program:

","['Starting', 'to', 'work', 'through', 'the', 'Google', 'Go', 'HelloWorld', 'tutorial', 'from:', 'https://developers.google.com/appengine/docs/go/gettingstarted/helloworld', 'Using', 'OS', 'X', '10.8.2', 'on', 'MacBook', 'Pro.', 'Followed', 'the', 'steps,', 'but', 'when', 'I', 'run', 'the', 'first', 'code', '(', 'dev_appserver.py', 'myapp/', '),', 'I', 'get', 'errors', 'listed', 'at', 'end', 'of', 'question.', 'This', 'is', 'the', 'hello', 'world', 'program:']","['VBG', 'TO', 'VB', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'JJ', 'NN', 'NN', 'NNP', 'NNP', 'NNP', 'CD', 'IN', 'NNP', 'NNP', 'VBD', 'DT', 'NN', 'CC', 'WRB', 'PRP', 'VBP', 'DT', 'JJ', 'NN', '(', 'JJ', 'NN', 'NN', 'PRP', 'VBP', 'NNS', 'VBN', 'IN', 'NN', 'IN', 'NN', 'DT', 'VBZ', 'DT', 'JJ', 'NN', 'NN']"
1,package hello,"['package', 'hello']","['KEYWORD', 'IDENTIFIER']"
2,import (,"['import', '(']","['KEYWORD', 'OPERATOR']"
3,"    ""fmt""","['""fmt""']",['STRING_LITERAL']
4,"    ""net/http""","['""net/http""']",['STRING_LITERAL']
5,),[')'],['OPERATOR']
6,func init() {,"['func', 'init', '()', '{']","['KEYWORD', 'IDENTIFIER', 'OPERATOR', 'OPERATOR']"
7,"    http.HandleFunc(""/"", handler)","['http.HandleFunc(""/"", handler)']",['FUNCTION_CALL']
8,},['}'],['OPERATOR']
9,"func handler(w http.ResponseWriter, r *http.Request) {","['func', 'handler', '(', 'w', 'http', '.', 'ResponseWriter', ',', 'r', '*', 'http', '.', 'Request', ')', '{']","['KEYWORD', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'OPERATOR']"
10,"    fmt.Fprint(w, ""Hello, world!"")","['fmt.Fprint(w, ""Hello, world!"")']",['FUNCTION_CALL']
11,},['}'],['OPERATOR']
12,"

and this is the configuration file:

","['and', 'this', 'is', 'the', 'configuration', 'file:']","['CC', 'DT', 'VBZ', 'DT', 'NN', 'NN']"
13,application: helloworld,"['application', ':', 'helloworld']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER']"
14,version: 1,"['version', ':', '1']","['IDENTIFIER', 'OPERATOR', 'DECIMAL_LITERAL']"
15,runtime: go,"['runtime', ':', 'go']","['IDENTIFIER', 'OPERATOR', 'KEYWORD']"
16,api_version: go1,"['api_version', ':', 'go', '1']","['IDENTIFIER', 'OPERATOR', 'KEYWORD', 'DECIMAL_LITERAL']"
17,"

handlers:

",['handlers:'],['NN']
18,- url: /.*,"['-', 'url', ':', '.*']","['OPERATOR', 'IDENTIFIER', 'OPERATOR', 'OPERATOR']"
19,  script: _go_app,"['script', ':', '_go_app']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER']"
20,"

Have googled and searched here on stackoverflow, but not found solution.

Let me know if you have any ideas/suggestions.

","['Have', 'googled', 'and', 'searched', 'here', 'on', 'stackoverflow,', 'but', 'not', 'found', 'solution.', 'Let', 'me', 'know', 'if', 'you', 'have', 'any', 'ideas/suggestions.']","['NNP', 'VBN', 'CC', 'VBN', 'RB', 'IN', 'NNS', 'CC', 'RB', 'VBD', 'JJ', 'NNP', 'PRP', 'VB', 'IN', 'PRP', 'VBP', 'DT', 'NN']"
21,Last login: Sun Oct 14 13:05:37 on ttys000,"['Last', 'login', ':', 'Sun', 'Oct', '14', '13', ':', '05', ':', '37', 'on', 'ttys000']","['IDENTIFIER', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'IDENTIFIER', 'DECIMAL_LITERAL', 'DECIMAL_LITERAL', 'OPERATOR', 'OCTAL_LITERAL', 'OPERATOR', 'DECIMAL_LITERAL', 'IDENTIFIER', 'IDENTIFIER']"
22,derek-etnyres-macbook-pro-2:~ dereketnyre$ dev_appserver.py myapp/,"['derek', '-', 'etnyres', '-', 'macbook', '-', 'pro', '-', '2', ':', 'dereketnyre', '$', 'dev_appserver', '.', 'py', 'myapp']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'DECIMAL_LITERAL', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'IDENTIFIER']"
23,"WARNING  2012-10-14 18:19:54,239 rdbms_mysqldb.py:74] The rdbms API is not available because the MySQLdb library could not be loaded.","['WARNING', '2012', '-', '10', '-', '14', '18', ':', '19', ':', '54', ',', '239', 'rdbms_mysqldb', '.', 'py', ':', '74', ']', 'The', 'rdbms', 'API', 'is', 'not', 'available', 'because', 'the', 'MySQLdb', 'library', 'could', 'not', 'be', 'loaded', '.']","['IDENTIFIER', 'DECIMAL_LITERAL', 'OPERATOR', 'DECIMAL_LITERAL', 'OPERATOR', 'DECIMAL_LITERAL', 'DECIMAL_LITERAL', 'OPERATOR', 'DECIMAL_LITERAL', 'OPERATOR', 'DECIMAL_LITERAL', 'OPERATOR', 'DECIMAL_LITERAL', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'DECIMAL_LITERAL', 'OPERATOR', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'OPERATOR']"
24,Warning: You are using a Python runtime (2.7) that is more recent than the production runtime environment (2.5). Your application may use features that are not available in the production environment and may not work correctly when deployed to production.,"['Warning', ':', 'You', 'are', 'using', 'a', 'Python', 'runtime', '(', '2', '.', '7', ')', 'that', 'is', 'more', 'recent', 'than', 'the', 'production', 'runtime', 'environment', '(', '2', '.', '5', ').', 'Your', 'application', 'may', 'use', 'features', 'that', 'are', 'not', 'available', 'in', 'the', 'production', 'environment', 'and', 'may', 'not', 'work', 'correctly', 'when', 'deployed', 'to', 'production', '.']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'OPERATOR', 'DECIMAL_LITERAL', 'OPERATOR', 'DECIMAL_LITERAL', 'OPERATOR', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'OPERATOR', 'DECIMAL_LITERAL', 'OPERATOR', 'DECIMAL_LITERAL', 'OPERATOR', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'OPERATOR']"
