,text,token,annotation
0,"My golang program (url monitor) has a memory leak, it finially killed by kernel (oom).
the env:

","['My', 'golang', 'program', '(url', 'monitor)', 'has', 'a', 'memory', 'leak,', 'it', 'finially', 'killed', 'by', 'kernel', '(oom).', 'the', 'env:']","['PRP$', 'NN', 'NN', 'NNP', 'NN', 'VBZ', 'DT', 'NN', 'NN', 'PRP', 'RB', 'VBN', 'IN', 'NNS', 'IN', 'DT', 'NN']"
1,$ go version,"['$', 'go', 'version']","['OPERATOR', 'KEYWORD', 'IDENTIFIER']"
2,go version go1.0.3,"['go', 'version', 'go', '1', '.', '0', '.', '3']","['KEYWORD', 'IDENTIFIER', 'KEYWORD', 'DECIMAL_LITERAL', 'OPERATOR', 'OCTAL_LITERAL', 'OPERATOR', 'DECIMAL_LITERAL']"
3,$ go env,"['$', 'go', 'env']","['OPERATOR', 'KEYWORD', 'IDENTIFIER']"
4,"GOARCH=""amd64""","['GOARCH', '=', '""amd64""']","['IDENTIFIER', 'OPERATOR', 'STRING_LITERAL']"
5,"GOBIN=""""","['GOBIN', '=', '""""']","['IDENTIFIER', 'OPERATOR', 'STRING_LITERAL']"
6,"GOCHAR=""6""","['GOCHAR', '=', '""6""']","['IDENTIFIER', 'OPERATOR', 'STRING_LITERAL']"
7,"GOEXE=""""","['GOEXE', '=', '""""']","['IDENTIFIER', 'OPERATOR', 'STRING_LITERAL']"
8,"GOGCCFLAGS=""-g -O2 -fPIC -m64 -pthread""","['GOGCCFLAGS', '=', '""-g -O2 -fPIC -m64 -pthread""']","['IDENTIFIER', 'OPERATOR', 'STRING_LITERAL']"
9,"GOHOSTARCH=""amd64""","['GOHOSTARCH', '=', '""amd64""']","['IDENTIFIER', 'OPERATOR', 'STRING_LITERAL']"
10,"GOHOSTOS=""linux""","['GOHOSTOS', '=', '""linux""']","['IDENTIFIER', 'OPERATOR', 'STRING_LITERAL']"
11,"GOOS=""linux""","['GOOS', '=', '""linux""']","['IDENTIFIER', 'OPERATOR', 'STRING_LITERAL']"
12,"GOPATH=""/data/apps/go""","['GOPATH=""/data/apps/go""']",['DIRECTORY']
13,"GOROOT=""/usr/local/go""","['GOROOT=""/usr/local/go""']",['DIRECTORY']
14,"GOTOOLDIR=""/usr/local/go/pkg/tool/linux_amd64""","['GOTOOLDIR=""/usr/local/go/pkg/tool/linux_amd64""']",['DIRECTORY']
15,"CGO_ENABLED=""1""","['CGO_ENABLED', '=', '""1""']","['IDENTIFIER', 'OPERATOR', 'STRING_LITERAL']"
16,"

code:

",['code:'],['NN']
17,package main,"['package', 'main']","['KEYWORD', 'IDENTIFIER']"
18,import (,"['import', '(']","['KEYWORD', 'OPERATOR']"
19,"    ""bytes""","['""bytes""']",['STRING_LITERAL']
20,"    ""database/sql""","['""database/sql""']",['STRING_LITERAL']
21,"    ""flag""","['""flag""']",['STRING_LITERAL']
22,"    ""fmt""","['""fmt""']",['STRING_LITERAL']
23,"    _ ""github.com/Go-SQL-Driver/MySQL""","['_', '""github.com/Go-SQL-Driver/MySQL""']","['IDENTIFIER', 'STRING_LITERAL']"
24,"    ""ijinshan.com/cfg""","['""ijinshan.com/cfg""']",['STRING_LITERAL']
25,"    ""log""","['""log""']",['STRING_LITERAL']
26,"    ""net""","['""net""']",['STRING_LITERAL']
27,"    ""net/http""","['""net/http""']",['STRING_LITERAL']
28,"    ""net/smtp""","['""net/smtp""']",['STRING_LITERAL']
29,"    ""os""","['""os""']",['STRING_LITERAL']
30,"    ""strconv""","['""strconv""']",['STRING_LITERAL']
31,"    ""strings""","['""strings""']",['STRING_LITERAL']
32,"    ""sync""","['""sync""']",['STRING_LITERAL']
33,"    ""time""","['""time""']",['STRING_LITERAL']
34,),[')'],['OPERATOR']
35,var (,"['var', '(']","['KEYWORD', 'OPERATOR']"
36,    Log           *log.Logger,"['Log', '*', 'log', '.', 'Logger']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER']"
37,    Conf          cfg.KVConfig,"['Conf', 'cfg', '.', 'KVConfig']","['IDENTIFIER', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER']"
38,    Debug         bool,"['Debug', 'bool']","['IDENTIFIER', 'IDENTIFIER']"
39,    CpuCore       int,"['CpuCore', 'int']","['IDENTIFIER', 'IDENTIFIER']"
40,    HttpTransport = &http.Transport{,"['HttpTransport', '=', '&', 'http', '.', 'Transport', '{']","['IDENTIFIER', 'OPERATOR', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR']"
41,"        Dial: func(netw, addr string) (net.Conn, error) {","['Dial', ':', 'func', '(', 'netw', ',', 'addr', 'string', ')', '(', 'net', '.', 'Conn', ',', 'error', ')', '{']","['IDENTIFIER', 'OPERATOR', 'KEYWORD', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'IDENTIFIER', 'OPERATOR', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'OPERATOR']"
42,            deadline := time.Now().Add(30 * time.Second),"['deadline', ':=', 'time.Now().Add(30 * time.Second)']","['IDENTIFIER', 'OPERATOR', 'FUNCTION_CALL']"
43,"            c, err := net.DialTimeout(netw, addr, 20*time.Second)","['c', ',', 'err', ':=', 'net.DialTimeout(netw, addr, 20*time.Second)']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'FUNCTION_CALL']"
44,            if err != nil {,"['if', 'err', '!=', 'nil', '{']","['KEYWORD', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR']"
45,"                return nil, err","['return', 'nil', ',', 'err']","['KEYWORD', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER']"
46,            },['}'],['OPERATOR']
47,            c.SetDeadline(deadline),['c.SetDeadline(deadline)'],['FUNCTION_CALL']
48,"            return c, nil","['return', 'c', ',', 'nil']","['KEYWORD', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER']"
49,"        },","['},']",['OPERATOR']
50,"        DisableKeepAlives: true,","['DisableKeepAlives', ':', 'true', ',']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR']"
51,    },['}'],['OPERATOR']
52,    HttpClient = &http.Client{,"['HttpClient', '=', '&', 'http', '.', 'Client', '{']","['IDENTIFIER', 'OPERATOR', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR']"
53,"        Transport: HttpTransport,","['Transport', ':', 'HttpTransport', ',']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR']"
54,    },['}'],['OPERATOR']
55,    WG            sync.WaitGroup,"['WG', 'sync', '.', 'WaitGroup']","['IDENTIFIER', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER']"
56,),[')'],['OPERATOR']
57,const (,"['const', '(']","['KEYWORD', 'OPERATOR']"
58,    LogFileFlag   = os.O_WRONLY | os.O_CREATE | os.O_APPEND,"['LogFileFlag', '=', 'os', '.', 'O_WRONLY', '|', 'os', '.', 'O_CREATE', '|', 'os', '.', 'O_APPEND']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER']"
59,    LogFileMode   = 0644,"['LogFileMode', '=', '0644']","['IDENTIFIER', 'OPERATOR', 'OCTAL_LITERAL']"
60,    LogFlag       = log.LstdFlags | log.Lshortfile,"['LogFlag', '=', 'log', '.', 'LstdFlags', '|', 'log', '.', 'Lshortfile']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER']"
61,"    GET_VIDEO_SQL = `SELECT B.Name, A.TSID, A.Chapter, A.ChapterNum, ","['GET_VIDEO_SQL', '=', 'SELECT', 'B', '.', 'Name', ',', 'A', '.', 'TSID', ',', 'A', '.', 'Chapter', ',', 'A', '.', 'ChapterNum', ',']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR']"
62,"    IFNULL(A.Website, ''), IFNULL(A.Descr, ''), ","['IFNULL', '(', 'A', '.', 'Website', ',', ""''"", '),', 'IFNULL', '(', 'A', '.', 'Descr', ',', ""''"", '),']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR']"
63,"    IFNULL(A.VideoId, ''), IFNULL(AndroidWebURL, ''), IFNULL(IOSWebURL, ''), ","['IFNULL', '(', 'A', '.', 'VideoId', ',', ""''"", '),', 'IFNULL', '(', 'AndroidWebURL', ',', ""''"", '),', 'IFNULL', '(', 'IOSWebURL', ',', ""''"", '),']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR']"
64,"    IFNULL(AndroidURL, ''), IFNULL(AndroidURL2, ''), IFNULL(IOSURL, '')","['IFNULL', '(', 'AndroidURL', ',', ""''"", '),', 'IFNULL', '(', 'AndroidURL2', ',', ""''"", '),', 'IFNULL', '(', 'IOSURL', ',', ""''"", ')']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR']"
65,    FROM Video A INNER JOIN TVS B ON A.TSID = B.ID LIMIT 200`,"['FROM', 'Video', 'A', 'INNER', 'JOIN', 'TVS', 'B', 'ON', 'A', '.', 'TSID', '=', 'B', '.', 'ID', 'LIMIT', '200']","['IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'IDENTIFIER', 'DECIMAL_LITERAL']"
66,    HtmlHead = `节目名,"['HtmlHead', '=']","['IDENTIFIER', 'OPERATOR']"
67,    tsid章节章节号描述,['tsid章节章节号描述'],['IDENTIFIER']
68,    videoid网站地址`,['videoid网站地址'],['IDENTIFIER']
69,"    HtmlTail = """"","['HtmlTail', '=', '""""']","['IDENTIFIER', 'OPERATOR', 'STRING_LITERAL']"
70,),[')'],['OPERATOR']
71,type videoInfo struct {,"['type', 'videoInfo', 'struct', '{']","['KEYWORD', 'IDENTIFIER', 'KEYWORD', 'OPERATOR']"
72,    name          string,"['name', 'string']","['IDENTIFIER', 'IDENTIFIER']"
73,    tsid          uint,"['tsid', 'uint']","['IDENTIFIER', 'IDENTIFIER']"
74,    chapter       string,"['chapter', 'string']","['IDENTIFIER', 'IDENTIFIER']"
75,    chapterNum    uint,"['chapterNum', 'uint']","['IDENTIFIER', 'IDENTIFIER']"
76,    descr         string,"['descr', 'string']","['IDENTIFIER', 'IDENTIFIER']"
77,    videoId       string,"['videoId', 'string']","['IDENTIFIER', 'IDENTIFIER']"
78,    website       string,"['website', 'string']","['IDENTIFIER', 'IDENTIFIER']"
79,    androidWebUrl string,"['androidWebUrl', 'string']","['IDENTIFIER', 'IDENTIFIER']"
80,    iosWebUrl     string,"['iosWebUrl', 'string']","['IDENTIFIER', 'IDENTIFIER']"
81,    androidUrl    string,"['androidUrl', 'string']","['IDENTIFIER', 'IDENTIFIER']"
82,    androidUrl2   string,"['androidUrl2', 'string']","['IDENTIFIER', 'IDENTIFIER']"
83,    iosUrl        string,"['iosUrl', 'string']","['IDENTIFIER', 'IDENTIFIER']"
84,},['}'],['OPERATOR']
85,func init() {,"['func', 'init', '()', '{']","['KEYWORD', 'IDENTIFIER', 'OPERATOR', 'OPERATOR']"
86,    var (,"['var', '(']","['KEYWORD', 'OPERATOR']"
87,        confFile string,"['confFile', 'string']","['IDENTIFIER', 'IDENTIFIER']"
88,        err      error,"['err', 'error']","['IDENTIFIER', 'IDENTIFIER']"
89,    ),[')'],['OPERATOR']
90,    // parse command argument:w,"['//', 'parse', 'command', 'argument:w']","['COMMENT', 'NN', 'NN', 'NN']"
91,"    flag.StringVar(&confFile, ""c"", ""./vsmonitor.conf"", "" set config file path"")","['flag.StringVar(&confFile, ""c"", ""./vsmonitor.conf"", "" set config file path"")']",['FUNCTION_CALL']
92,    flag.Parse(),['flag.Parse()'],['FUNCTION_CALL']
93,    // read config,"['//', 'read', 'config']","['COMMENT', 'NN', 'NN']"
94,"    if Conf, err = cfg.Read(confFile); err != nil {","['if', 'Conf', ',', 'err', '=', 'cfg.Read(confFile)', ';', 'err', '!=', 'nil', '{']","['KEYWORD', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'FUNCTION_CALL', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR']"
95,"        panic(fmt.Sprintf(""Read config file \""%s\"" failed (%s)"",","['panic', '(', 'fmt.Sprintf(""Read config file \\""%s\\"" failed (%s)', ',']","['IDENTIFIER', 'OPERATOR', 'FUNCTION_CALL', 'OPERATOR']"
96,"            confFile, err.Error()))","['confFile', ',', 'err.Error()))']","['IDENTIFIER', 'OPERATOR', 'FUNCTION_CALL']"
97,    },['}'],['OPERATOR']
98,    // open log file,"['//', 'open', 'log', 'file']","['COMMENT', 'JJ', 'NN', 'NN']"
99,"    file, err := os.OpenFile(Conf[""log.file""], LogFileFlag, LogFileMode)","['file', ',', 'err', ':=', 'os.OpenFile(Conf[""log.file""], LogFileFlag, LogFileMode)']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'FUNCTION_CALL']"
100,    if err != nil {,"['if', 'err', '!=', 'nil', '{']","['KEYWORD', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR']"
101,"        panic(fmt.Sprintf(""OpenFile \""%s\"" failed (%s)"", Conf[""log.file""],","['panic', '(', 'fmt.Sprintf(""OpenFile \\""%s\\"" failed (%s)', '"", Conf[""', 'log', '.', 'file', '],']","['IDENTIFIER', 'OPERATOR', 'FUNCTION_CALL', 'STRING_LITERAL', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR']"
102,            err.Error())),['err.Error()))'],['FUNCTION_CALL']
103,    },['}'],['OPERATOR']
104,    // init LOG,"['//', 'init', 'LOG']","['COMMENT', 'NN', 'NNP']"
105,"    Log = log.New(file, """", LogFlag)","['Log', '=', 'log.New(file, """", LogFlag)']","['IDENTIFIER', 'OPERATOR', 'FUNCTION_CALL']"
106,    Debug = false,"['Debug', '=', 'false']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER']"
107,"    i, err := strconv.ParseInt(Conf[""cpucore.num""], 10, 32)","['i', ',', 'err', ':=', 'strconv.ParseInt(Conf[""cpucore.num""], 10, 32)']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'FUNCTION_CALL']"
108,    if err != nil {,"['if', 'err', '!=', 'nil', '{']","['KEYWORD', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR']"
109,"        panic(fmt.Sprintf(""ParseInt \""%s\"" failed (%s)"", Conf[""cpucore.num""],","['panic', '(', 'fmt.Sprintf(""ParseInt \\""%s\\"" failed (%s)', '"", Conf[""', 'cpucore', '.', 'num', '],']","['IDENTIFIER', 'OPERATOR', 'FUNCTION_CALL', 'STRING_LITERAL', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR']"
110,            err.Error())),['err.Error()))'],['FUNCTION_CALL']
111,    },['}'],['OPERATOR']
112,    CpuCore = int(i),"['CpuCore', '=', 'int', '(', 'i', ')']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR']"
113,},['}'],['OPERATOR']
114,func getHttpStatusCode(url string) int {,"['func', 'getHttpStatusCode', '(', 'url', 'string', ')', 'int', '{']","['KEYWORD', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR']"
115,"    if url == """" {","['if', 'url', '==', '""""', '{']","['KEYWORD', 'IDENTIFIER', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR']"
116,        return 200,"['return', '200']","['KEYWORD', 'DECIMAL_LITERAL']"
117,    },['}'],['OPERATOR']
118,"    req, err := http.NewRequest(""GET"", url, nil)","['req', ',', 'err', ':=', 'http.NewRequest(""GET"", url, nil)']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'FUNCTION_CALL']"
119,    if err != nil {,"['if', 'err', '!=', 'nil', '{']","['KEYWORD', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR']"
120,        return 0,"['return', '0']","['KEYWORD', 'OCTAL_LITERAL']"
121,    },['}'],['OPERATOR']
122,"    req.Header.Add(""User-Agent"", ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17"")","['req', '.', 'Header.Add(""User-Agent"", ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17"")']","['IDENTIFIER', 'OPERATOR', 'FUNCTION_CALL']"
123,"    req.Header.Add(""Connection"", ""close"")","['req', '.', 'Header.Add(""Connection"", ""close"")']","['IDENTIFIER', 'OPERATOR', 'FUNCTION_CALL']"
