,text,token,annotation
0,"I want to keep an asio connection responsive, that I mean to check the server every second till it become alive and then send and receive. Here is my code

---irunnable.h---

","['I', 'want', 'to', 'keep', 'an', 'asio', 'connection', 'responsive,', 'that', 'I', 'mean', 'to', 'check', 'the', 'server', 'every', 'second', 'till', 'it', 'become', 'alive', 'and', 'then', 'send', 'and', 'receive.', 'Here', 'is', 'my', 'code', '---irunnable.h---']","['PRP', 'VBP', 'TO', 'VB', 'DT', 'JJ', 'NN', 'NN', 'IN', 'PRP', 'VBP', 'TO', 'VB', 'DT', 'NN', 'DT', 'JJ', 'NN', 'PRP', 'VBD', 'JJ', 'CC', 'RB', 'VB', 'CC', 'VB', 'RB', 'VBZ', 'PRP$', 'NN', 'NN']"
1,#ifndef IRUNNABLE_H,"['if', 'ndef', 'IRUNNABLE_H']","['KEYWORD', 'IDENTIFIER', 'IDENTIFIER']"
2,#define IRUNNABLE_H,"['define', 'IRUNNABLE_H']","['IDENTIFIER', 'IDENTIFIER']"
3,#include ,['include'],['IDENTIFIER']
4,#include ,['include'],['IDENTIFIER']
5,#include ,['include'],['IDENTIFIER']
6,class IRunnable,"['class', 'IRunnable']","['IDENTIFIER', 'IDENTIFIER']"
7,{,['{'],['PUNCTUATION']
8,public:,"['public', ':']","['IDENTIFIER', 'PUNCTUATION']"
9,    IRunnable(): mThread(nullptr) {,"['IRunnable', '():', 'mThread', '(', 'nullptr', ')', '{']","['IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION', 'PUNCTUATION']"
10,        mRunning.store(false);,"['mRunning.store(false)', ';']","['FUNCTION_CALL', 'PUNCTUATION']"
11,    },['}'],['PUNCTUATION']
12,    virtual ~IRunnable() {,"['virtual', 'IRunnable', '()', '{']","['IDENTIFIER', 'IDENTIFIER', 'PUNCTUATION', 'PUNCTUATION']"
13,        if (mRunning.load()),"['if', '(', 'mRunning.load())']","['KEYWORD', 'PUNCTUATION', 'FUNCTION_CALL']"
14,            Stop();,"['Stop', '();']","['IDENTIFIER', 'PUNCTUATION']"
15,        delete mThread;,"['delete', 'mThread', ';']","['IDENTIFIER', 'IDENTIFIER', 'PUNCTUATION']"
16,    },['}'],['PUNCTUATION']
17,    virtual void Start() {,"['virtual', 'void', 'Start', '()', '{']","['IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'PUNCTUATION', 'PUNCTUATION']"
18,        mRunning.store(true);,"['mRunning.store(true)', ';']","['FUNCTION_CALL', 'PUNCTUATION']"
19,"        mThread = new std::thread(&IRunnable::Run, this);","['mThread', '=', 'new', 'std', '::', 'thread', '(&', 'IRunnable', '::', 'Run', ',', 'this', ');']","['IDENTIFIER', 'ASSIGNMENT_OPERATOR', 'IDENTIFIER', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION']"
20,    },['}'],['PUNCTUATION']
21,    virtual void Stop() {,"['virtual', 'void', 'Stop', '()', '{']","['IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'PUNCTUATION', 'PUNCTUATION']"
22,        mRunning.store(false);,"['mRunning.store(false)', ';']","['FUNCTION_CALL', 'PUNCTUATION']"
23,        if (mThread && mThread->joinable()),"['if', '(', 'mThread', '&&', 'mThread', '->', 'joinable', '())']","['KEYWORD', 'PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION']"
24,            mThread->join();,"['mThread', '->', 'join', '();']","['IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION']"
25,    },['}'],['PUNCTUATION']
26,    virtual bool IsRunning() {return mRunning.load();},"['virtual', 'bool', 'IsRunning', '()', '{', 'return', 'mRunning.load()', ';}']","['IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'PUNCTUATION', 'PUNCTUATION', 'KEYWORD', 'FUNCTION_CALL', 'PUNCTUATION']"
27,protected:,"['protected', ':']","['IDENTIFIER', 'PUNCTUATION']"
28,    virtual void Run() = 0;,"['virtual', 'void', 'Run', '()', '=', '0', ';']","['IDENTIFIER', 'IDENTIFIER', 'IDENTIFIER', 'PUNCTUATION', 'ASSIGNMENT_OPERATOR', 'OCTAL_LITERAL', 'PUNCTUATION']"
29,    std::atomic mRunning;,"['std', '::', 'atomic', 'mRunning', ';']","['IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'IDENTIFIER', 'PUNCTUATION']"
30,private:,"['private', ':']","['IDENTIFIER', 'PUNCTUATION']"
31,    std::thread *mThread;,"['std', '::', 'thread', '*', 'mThread', ';']","['IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'ARITHMETIC_OPERATOR', 'IDENTIFIER', 'PUNCTUATION']"
32,};,['};'],['PUNCTUATION']
33,#endif // IRUNNABLE_H,"['endif', '//', 'IRUNNABLE_H']","['IDENTIFIER', 'COMMENT', 'NN']"
34,"

---mytcpconnection.h---

",['---mytcpconnection.h---'],['NN']
35,#ifndef MYTCPCONNECTION_H,"['if', 'ndef', 'MYTCPCONNECTION_H']","['KEYWORD', 'IDENTIFIER', 'IDENTIFIER']"
36,#define MYTCPCONNECTION_H,"['define', 'MYTCPCONNECTION_H']","['IDENTIFIER', 'IDENTIFIER']"
37,#include ,['include'],['IDENTIFIER']
