,text,token
0,func init() {,"['func', 'init', '()', '{']"
1,"    http.HandleFunc(""/"", handler)","['http.HandleFunc(""/"", handler)']"
2,},['}']
3,"

In the handler function there is code iterating over a list of data, processing it, and aggregating a results.

Lets say for a given query there are 100 items that need to be processed.  For each item I write log to the Appengine console, ""Item n has been processed"".

Here is the problem:

The request does not return. The log message for the first 40 or so  items, and then it repeats, and repeats.  It always stops are the same item, and restarts.

My best guess is that the app is hitting a memory limit or something, and the Appengine Go runtime is just restarting, and re-executing the handler.  

For a small list of items, processing goes as expected, and the logs don't show any looping.

There are no errors in the request log, but another log shows:

","['In', 'the', 'handler', 'function', 'there', 'is', 'code', 'iterating', 'over', 'a', 'list', 'of', 'data,', 'processing', 'it,', 'and', 'aggregating', 'a', 'results.', 'Lets', 'say', 'for', 'a', 'given', 'query', 'there', 'are', '100', 'items', 'that', 'need', 'to', 'be', 'processed.', 'For', 'each', 'item', 'I', 'write', 'log', 'to', 'the', 'Appengine', 'console,', '""Item', 'n', 'has', 'been', 'processed"".', 'Here', 'is', 'the', 'problem:', 'The', 'request', 'does', 'not', 'return.', 'The', 'log', 'message', 'for', 'the', 'first', '40', 'or', 'so', 'items,', 'and', 'then', 'it', 'repeats,', 'and', 'repeats.', 'It', 'always', 'stops', 'are', 'the', 'same', 'item,', 'and', 'restarts.', 'My', 'best', 'guess', 'is', 'that', 'the', 'app', 'is', 'hitting', 'a', 'memory', 'limit', 'or', 'something,', 'and', 'the', 'Appengine', 'Go', 'runtime', 'is', 'just', 'restarting,', 'and', 're-executing', 'the', 'handler.', 'For', 'a', 'small', 'list', 'of', 'items,', 'processing', 'goes', 'as', 'expected,', 'and', 'the', 'logs', ""don't"", 'show', 'any', 'looping.', 'There', 'are', 'no', 'errors', 'in', 'the', 'request', 'log,', 'but', 'another', 'log', 'shows:']"
4,panic: poll_ctl,"['panic', ':', 'poll_ctl']"
5,goroutine 3 [running]:,"['go', 'routine', '3', '[', 'running', ']:']"
6,"runtime/eventloop.(*pollServer).ctlfd(0x9035f8, 0x204100000005, 0x3, 0x2041, 0x0, ...)","['runtime', 'eventloop', '.(*', 'pollServer', ').', 'ctlfd', '(', '0', 'x9035f8', ',', '0', 'x204100000005', ',', '0', 'x3', ',', '0', 'x2041', ',', '0', 'x0', ',', '...)']"
7,    go/src/pkg/runtime/eventloop/poll_linux_amd64.go:428 +0xdf,"['go', 'src', 'pkg', 'runtime', 'eventloop', 'poll_linux_amd64', '.', 'go', ':', '428', '+', '0', 'xdf']"
8,"runtime/eventloop.(*pollServer).loop(0x9035f8, 0x0)","['runtime', 'eventloop', '.(*', 'pollServer', ').', 'loop', '(', '0', 'x9035f8', ',', '0', 'x0', ')']"
9,    go/src/pkg/runtime/eventloop/poll_linux_amd64.go:411 +0x4d8,"['go', 'src', 'pkg', 'runtime', 'eventloop', 'poll_linux_amd64', '.', 'go', ':', '411', '+', '0', 'x4d8']"
10,created by runtime/eventloop.init·1,"['created', 'by', 'runtime', 'eventloop', '.', 'init', '1']"
11,    go/src/pkg/runtime/eventloop/poll_linux_amd64.go:232 +0x40,"['go', 'src', 'pkg', 'runtime', 'eventloop', 'poll_linux_amd64', '.', 'go', ':', '232', '+', '0', 'x40']"
12,goroutine 1 [select (no cases)]:,"['go', 'routine', '1', '[', 'select', '(', 'no', 'case', 's', ')]:']"
13,"appengine_internal/fd_transport.serveHTTP(0x7fff76502f58, 0x70615f2f00000002, 0x7fff76502f5b, 0x3, 0x7fff76502f6c, ...)","['appengine_internal', 'fd_transport.serveHTTP(0x7fff76502f58, 0x70615f2f00000002, 0x7fff76502f5b, 0x3, 0x7fff76502f6c, ...)']"
14,    go/src/pkg/appengine_internal/fd_transport/fd_transport.go:44 +0x26b,"['go', 'src', 'pkg', 'appengine_internal', 'fd_transport', 'fd_transport', '.', 'go', ':', '44', '+', '0', 'x26b']"
15,appengine_internal.Main(),['appengine_internal.Main()']
16,    go/src/pkg/appengine_internal/internal.go:184 +0x1a8,"['go', 'src', 'pkg', 'appengine_internal', 'internal', '.', 'go', ':', '184', '+', '0', 'x1a8']"
17,main.main(),['main.main()']
18,    _go_main.go:16 +0x18,"['_go_main', '.', 'go', ':', '16', '+', '0', 'x18']"
19,goroutine 2 [select]:,"['go', 'routine', '2', '[', 'select', ']:']"
20,created by _,"['created', 'by', '_']"
21,    _.go:568 +0xd2,"['_', '.', 'go', ':', '568', '+', '0', 'xd2']"
22,goroutine 10 [chan receive]:,"['go', 'routine', '10', '[', 'chan', 'receive', ']:']"
23,"runtime/eventloop.(*pollServer).wait(0x9035f8, 0xf840095a60, 0xf84011ac30, 0xb, 0x1, ...)","['runtime', 'eventloop', '.(*', 'pollServer', ').', 'wait', '(', '0', 'x9035f8', ',', '0', 'xf840095a60', ',', '0', 'xf84011ac30', ',', '0', 'xb', ',', '0', 'x1', ',', '...)']"
24,    go/src/pkg/runtime/eventloop/poll_linux_amd64.go:472 +0x1a7,"['go', 'src', 'pkg', 'runtime', 'eventloop', 'poll_linux_amd64', '.', 'go', ':', '472', '+', '0', 'x1a7']"
25,"runtime/eventloop.(*FD).ReadFrom(0xf840095a50, 0xf840138000, 0x7d0000007d0, 0xf800000000, 0x0, ...)","['runtime', 'eventloop', '.(*', 'FD', ').', 'ReadFrom', '(', '0', 'xf840095a50', ',', '0', 'xf840138000', ',', '0', 'x7d0000007d0', ',', '0', 'xf800000000', ',', '0', 'x0', ',', '...)']"
26,    go/src/pkg/runtime/eventloop/fd.go:135 +0x1c2,"['go', 'src', 'pkg', 'runtime', 'eventloop', 'fd', '.', 'go', ':', '135', '+', '0', 'x1c2']"
27,created by _,"['created', 'by', '_']"
28,    _.go:144 +0x7a,"['_', '.', 'go', ':', '144', '+', '0', 'x7a']"
