,text,token
0,"I want to create a web app on GAE in Go and I need it to listen to a custom port. How do I set it up? I tried to use http.ListenAndServe("":12345"", nil) in the sandbox, but got this in my console:

","['I', 'want', 'to', 'create', 'a', 'web', 'app', 'on', 'GAE', 'in', 'Go', 'and', 'I', 'need', 'it', 'to', 'listen', 'to', 'a', 'custom', 'port.', 'How', 'do', 'I', 'set', 'it', 'up?', 'I', 'tried', 'to', 'use', 'http.ListenAndServe("":12345"",', 'nil)', 'in', 'the', 'sandbox,', 'but', 'got', 'this', 'in', 'my', 'console:']"
1,"WARNING  2011-10-07 20:01:01,252 urlfetch_stub.py:108] No ssl package found. urlfetch ","['WARNING', '2011', '-', '10', '-', '07', '20', ':', '01', ':', '01', ',', '252', 'urlfetch_stub', '.', 'py', ':', '108', ']', 'No', 'ssl', 'package', 'found', '.', 'urlfetch']"
2,will not be able to validate SSL certificates.,"['will', 'not', 'be', 'able', 'to', 'validate', 'SSL', 'certificates', '.']"
3,"INFO     2011-10-07 20:01:01,847 appengine_rpc.py:159] Server: appengine.google.com","['INFO', '2011', '-', '10', '-', '07', '20', ':', '01', ':', '01', ',', '847', 'appengine_rpc', '.', 'py', ':', '159', ']', 'Server', ':', 'appengine', '.', 'go', 'ogle', '.', 'com']"
4,"INFO     2011-10-07 20:01:01,855 appcfg.py:463] Checking for updates to the SDK.","['INFO', '2011', '-', '10', '-', '07', '20', ':', '01', ':', '01', ',', '855', 'appcfg', '.', 'py', ':', '463', ']', 'Checking', 'for', 'updates', 'to', 'the', 'SDK', '.']"
5,"INFO     2011-10-07 20:01:04,625 appcfg.py:480] The SDK is up to date.","['INFO', '2011', '-', '10', '-', '07', '20', ':', '01', ':', '04', ',', '625', 'appcfg', '.', 'py', ':', '480', ']', 'The', 'SDK', 'is', 'up', 'to', 'date', '.']"
6,"WARNING  2011-10-07 20:01:04,625 datastore_file_stub.py:512] Could not read datastore data from /var/folders/e0/e0U5NtMXFHOB6jVwkVhsnE+++TM/-Tmp-/dev_appserver.datastore","['WARNING', '2011', '-', '10', '-', '07', '20', ':', '01', ':', '04', ',', '625', 'datastore_file_stub', '.', 'py', ':', '512', ']', 'Could', 'not', 'read', 'datastore', 'data', 'from', 'var', 'folders', 'e0', 'e0U5NtMXFHOB6jVwkVhsnE', '+++', 'TM', '-', 'Tmp', '-', 'dev_appserver', '.', 'datastore']"
7,"INFO     2011-10-07 20:01:04,627 rdbms_sqlite.py:58] Connecting to SQLite database '' with file '/var/folders/e0/e0U5NtMXFHOB6jVwkVhsnE+++TM/-Tmp-/dev_appserver.rdbms'","['INFO', '2011', '-', '10', '-', '07', '20', ':', '01', ':', '04', ',', '627', 'rdbms_sqlite', '.', 'py', ':', '58', ']', 'Connecting', 'to', 'SQLite', 'database', 'with', 'file', 'var', 'folders', 'e0', 'e0U5NtMXFHOB6jVwkVhsnE', '+++', 'TM', '-', 'Tmp', '-', 'dev_appserver', '.', 'rdbms']"
8,"WARNING  2011-10-07 20:01:04,633 dev_appserver.py:4748] Could not initialize images API; you are likely missing the Python ""PIL"" module. ImportError: No module named _imaging","['WARNING', '2011', '-', '10', '-', '07', '20', ':', '01', ':', '04', ',', '633', 'dev_appserver', '.', 'py', ':', '4748', ']', 'Could', 'not', 'initialize', 'images', 'API', ';', 'you', 'are', 'likely', 'missing', 'the', 'Python', '""PIL""', 'module', '.', 'ImportError', ':', 'No', 'module', 'named', '_imaging']"
9,"INFO     2011-10-07 20:01:04,641 dev_appserver_multiprocess.py:637] Running application tpbitblock on port 8080: http://localhost:8080","['INFO', '2011', '-', '10', '-', '07', '20', ':', '01', ':', '04', ',', '641', 'dev_appserver_multiprocess', '.', 'py', ':', '637', ']', 'Running', 'application', 'tpbitblock', 'on', 'port', '8080', ':', 'http', ':', '//localhost:8080']"
10,"INFO     2011-10-07 20:01:08,448 __init__.py:365] building _go_app","['INFO', '2011', '-', '10', '-', '07', '20', ':', '01', ':', '08', ',', '448', '__init__', '.', 'py', ':', '365', ']', 'building', '_go_app']"
11,"INFO     2011-10-07 20:01:11,105 __init__.py:351] running _go_app","['INFO', '2011', '-', '10', '-', '07', '20', ':', '01', ':', '11', ',', '105', '__init__', '.', 'py', ':', '351', ']', 'running', '_go_app']"
12,throw: init rescheduling,"['throw', ':', 'init', 'rescheduling']"
13,runtime.throw+0x40 /private/tmp/appengine/google_appengine/goroot/src/pkg/runtime/runtime.c:102,"['runtime', '.', 'throw', '+', '0', 'x40', 'private', 'tmp', 'appengine', 'go', 'ogle_appengine', 'go', 'root', 'src', 'pkg', 'runtime', 'runtime', '.', 'c', ':', '102']"
14,"    runtime.throw(0x278c7f, 0xdc73)","['runtime.throw(0x278c7f, 0xdc73)']"
15,schedule+0x3e /private/tmp/appengine/google_appengine/goroot/src/pkg/runtime/proc.c:535,"['schedule', '+', '0', 'x3e', 'private', 'tmp', 'appengine', 'go', 'ogle_appengine', 'go', 'root', 'src', 'pkg', 'runtime', 'proc', '.', 'c', ':', '535']"
16,"    schedule(0x10803000, 0x10803000)","['schedule', '(', '0', 'x10803000', ',', '0', 'x10803000', ')']"
17,runtime.mcall+0x3a /private/tmp/appengine/google_appengine/goroot/src/pkg/runtime/386/asm.s:174,"['runtime', '.', 'mcall', '+', '0', 'x3a', 'private', 'tmp', 'appengine', 'go', 'ogle_appengine', 'go', 'root', 'src', 'pkg', 'runtime', '386', 'asm', '.', 's', ':', '174']"
18,"    runtime.mcall(0x10803000, 0x0)","['runtime.mcall(0x10803000, 0x0)']"
19,goroutine 2 [1]:,"['go', 'routine', '2', '[', '1', ']:']"
20,net.*pollServer·Run /private/tmp/appengine/google_appengine/goroot/src/pkg/net/fd.go:213,"['net', '.*', 'pollServer', 'Run', 'private', 'tmp', 'appengine', 'go', 'ogle_appengine', 'go', 'root', 'src', 'pkg', 'net', 'fd', '.', 'go', ':', '213']"
21,"    net.*pollServer·Run(0x10801c90, 0x0)","['net', '.*', 'pollServer', 'Run', '(', '0', 'x10801c90', ',', '0', 'x0', ')']"
22,runtime.goexit /private/tmp/appengine/google_appengine/goroot/src/pkg/runtime/proc.c:178,"['runtime', '.', 'go', 'exit', 'private', 'tmp', 'appengine', 'go', 'ogle_appengine', 'go', 'root', 'src', 'pkg', 'runtime', 'proc', '.', 'c', ':', '178']"
23,    runtime.goexit(),['runtime.goexit()']
24,----- goroutine created by -----,"['-----', 'go', 'routine', 'created', 'by', '-----']"
25,net.newPollServer+0x2dd /private/tmp/appengine/google_appengine/goroot/src/pkg/net/newpollserver.go:39,"['net', '.', 'newPollServer', '+', '0', 'x2dd', 'private', 'tmp', 'appengine', 'go', 'ogle_appengine', 'go', 'root', 'src', 'pkg', 'net', 'newpollserver', '.', 'go', ':', '39']"
26,goroutine 1 [4]:,"['go', 'routine', '1', '[', '4', ']:']"
27,runtime.gosched+0x4d /private/tmp/appengine/google_appengine/goroot/src/pkg/runtime/proc.c:603,"['runtime', '.', 'go', 'sched', '+', '0', 'x4d', 'private', 'tmp', 'appengine', 'go', 'ogle_appengine', 'go', 'root', 'src', 'pkg', 'runtime', 'proc', '.', 'c', ':', '603']"
28,    runtime.gosched(),['runtime.gosched()']
