,text,token
0,"I'm sure that I'm doing something wrong, I have a Go program that parses in 3D models in OBJ format and outputs a json object.  When I run it without adding in goroutines I get the following output:

","[""I'm"", 'sure', 'that', ""I'm"", 'doing', 'something', 'wrong,', 'I', 'have', 'a', 'Go', 'program', 'that', 'parses', 'in', '3D', 'models', 'in', 'OBJ', 'format', 'and', 'outputs', 'a', 'json', 'object.', 'When', 'I', 'run', 'it', 'without', 'adding', 'in', 'goroutines', 'I', 'get', 'the', 'following', 'output:']"
1,$ go run objParser.go ak47.obj extincteur_obj.obj ,"['$', 'go', 'run', 'objParser', '.', 'go', 'ak47', '.', 'obj', 'extincteur_obj', '.', 'obj']"
2,--Creating ak47.json3d from ak47.obj,"['--', 'Creating', 'ak47', '.', 'json3d', 'from', 'ak47', '.', 'obj']"
3,--Exported 85772 faces with 89088 verticies,"['--', 'Exported', '85772', 'faces', 'with', '89088', 'verticies']"
4,--Creating extincteur_obj.json3d from extincteur_obj.obj,"['--', 'Creating', 'extincteur_obj', '.', 'json3d', 'from', 'extincteur_obj', '.', 'obj']"
5,--Exported 150316 faces with 151425 verticies,"['--', 'Exported', '150316', 'faces', 'with', '151425', 'verticies']"
6,Parsed 2 files in 8.4963s,"['Parsed', '2', 'files', 'in', '8', '.', '4963', 's']"
7,"

Then I added in the goroutines and I get this output:

","['Then', 'I', 'added', 'in', 'the', 'goroutines', 'and', 'I', 'get', 'this', 'output:']"
8,$ go run objParser.go ak47.obj extincteur_obj.obj ,"['$', 'go', 'run', 'objParser', '.', 'go', 'ak47', '.', 'obj', 'extincteur_obj', '.', 'obj']"
9,--Creating ak47.json3d from ak47.obj,"['--', 'Creating', 'ak47', '.', 'json3d', 'from', 'ak47', '.', 'obj']"
10,--Creating extincteur_obj.json3d from extincteur_obj.obj,"['--', 'Creating', 'extincteur_obj', '.', 'json3d', 'from', 'extincteur_obj', '.', 'obj']"
11,--Exported 85772 faces with 89088 verticies,"['--', 'Exported', '85772', 'faces', 'with', '89088', 'verticies']"
12,--Exported 150316 faces with 151425 verticies,"['--', 'Exported', '150316', 'faces', 'with', '151425', 'verticies']"
13,Parsed 2 files in 10.23137s,"['Parsed', '2', 'files', 'in', '10', '.', '23137', 's']"
14,"

The order of how it's printed is what I expected given the interlacing of the parsing but I have no idea why it actually takes longer!  The code is pretty long, I snipped what I could but it's still pretty long, sorry about that!

","['The', 'order', 'of', 'how', ""it's"", 'printed', 'is', 'what', 'I', 'expected', 'given', 'the', 'interlacing', 'of', 'the', 'parsing', 'but', 'I', 'have', 'no', 'idea', 'why', 'it', 'actually', 'takes', 'longer!', 'The', 'code', 'is', 'pretty', 'long,', 'I', 'snipped', 'what', 'I', 'could', 'but', ""it's"", 'still', 'pretty', 'long,', 'sorry', 'about', 'that!']"
15,package main,"['package', 'main']"
