,text,token
0,"In the big picture, I'm trying to implement Dijkstra's algorithm using a priority queue. 

According to members of golang-nuts, the idiomatic way to do this in Go is to use the heap interface with a custom underlying data structure. So I have created Node.go and PQueue.go like so:

","['In', 'the', 'big', 'picture,', ""I'm"", 'trying', 'to', 'implement', ""Dijkstra's"", 'algorithm', 'using', 'a', 'priority', 'queue.', 'According', 'to', 'members', 'of', 'golang-nuts,', 'the', 'idiomatic', 'way', 'to', 'do', 'this', 'in', 'Go', 'is', 'to', 'use', 'the', 'heap', 'interface', 'with', 'a', 'custom', 'underlying', 'data', 'structure.', 'So', 'I', 'have', 'created', 'Node.go', 'and', 'PQueue.go', 'like', 'so:']"
1,//Node.go,"['//', 'Node.go']"
2,package pqueue,"['package', 'pqueue']"
3,type Node struct {,"['type', 'Node', 'struct', '{']"
4,    row    int,"['row', 'int']"
5,    col    int,"['col', 'int']"
6,    myVal  int,"['myVal', 'int']"
7,    sumVal int,"['sumVal', 'int']"
8,},['}']
9,"func (n *Node) Init(r, c, mv, sv int) {","['func', '(', 'n', '*', 'Node', ')', 'Init', '(', 'r', ',', 'c', ',', 'mv', ',', 'sv', 'int', ')', '{']"
10,    n.row = r,"['n', '.', 'row', '=', 'r']"
11,    n.col = c,"['n', '.', 'col', '=', 'c']"
12,    n.myVal = mv,"['n', '.', 'myVal', '=', 'mv']"
13,    n.sumVal = sv,"['n', '.', 'sumVal', '=', 'sv']"
14,},['}']
15,func (n *Node) Equals(o *Node) bool {,"['func', '(', 'n', '*', 'Node', ')', 'Equals', '(', 'o', '*', 'Node', ')', 'bool', '{']"
16,    return n.row == o.row && n.col == o.col,"['return', 'n', '.', 'row', '==', 'o', '.', 'row', '&&', 'n', '.', 'col', '==', 'o', '.', 'col']"
17,},['}']
18,"

And PQueue.go: 

","['And', 'PQueue.go:']"
19,// PQueue.go,"['//', 'PQueue.go']"
20,package pqueue,"['package', 'pqueue']"
21,"import ""container/vector""","['import', '""container/vector""']"
22,"import ""container/heap""","['import', '""container/heap""']"
23,type PQueue struct {,"['type', 'PQueue', 'struct', '{']"
24,    data vector.Vector,"['data', 'vector', '.', 'Vector']"
25,    size int,"['size', 'int']"
26,},['}']
27,func (pq *PQueue) Init() {,"['func', '(', 'pq', '*', 'PQueue', ')', 'Init', '()', '{']"
28,    heap.Init(pq),['heap.Init(pq)']
29,},['}']
30,func (pq *PQueue) IsEmpty() bool {,"['func', '(', 'pq', '*', 'PQueue', ')', 'IsEmpty', '()', 'bool', '{']"
31,    return pq.size == 0,"['return', 'pq', '.', 'size', '==', '0']"
32,},['}']
33,func (pq *PQueue) Push(i interface{}) {,"['func', '(', 'pq', '*', 'PQueue', ')', 'Push', '(', 'i', 'interface', '{})', '{']"
34,"    heap.Push(pq, i)","['heap.Push(pq, i)']"
35,    pq.size++,"['pq', '.', 'size', '++']"
36,},['}']
37,func (pq *PQueue) Pop() interface{} {,"['func', '(', 'pq', '*', 'PQueue', ')', 'Pop', '()', 'interface', '{}', '{']"
38,    pq.size--,"['pq', '.', 'size', '--']"
39,    return heap.Pop(pq),"['return', 'heap.Pop(pq)']"
40,},['}']
41,func (pq *PQueue) Len() int {,"['func', '(', 'pq', '*', 'PQueue', ')', 'Len', '()', 'int', '{']"
42,    return pq.size,"['return', 'pq', '.', 'size']"
43,},['}']
44,"func (pq *PQueue) Less(i, j int) bool {","['func', '(', 'pq', '*', 'PQueue', ')', 'Less', '(', 'i', ',', 'j', 'int', ')', 'bool', '{']"
45,    I := pq.data.At(i).(Node),"['I', ':=', 'pq', '.', 'data.At(i).(Node)']"
46,    J := pq.data.At(j).(Node),"['J', ':=', 'pq', '.', 'data.At(j).(Node)']"
