,text,token
0,"Great question!

Looking at the source code of go/doc, we can see that it has to deal with this same case in readType function. There, it says:

","['Great', 'question', '!', 'Looking', 'at', 'the', 'source', 'code', 'of', 'go/doc', ',', 'we', 'can', 'see', 'that', 'it', 'has', 'to', 'deal', 'with', 'this', 'same', 'case', 'in', 'readType', 'function', '.', 'There', ',', 'it', 'says', ':']"
1,"324     func (r *reader) readType(decl *ast.GenDecl, spec *ast.TypeSpec) {","['324', 'func', '(', 'r', '*', 'reader', ')', 'readType', '(', 'decl', '*', 'ast', '.', 'GenDecl', ',', 'spec', '*', 'ast', '.', 'TypeSpec', ')', '{']"
2,...,['...']
3,334     // compute documentation,"['334', '//', 'compute', 'documentation']"
4,335     doc := spec.Doc,"['335', 'doc', ':=', 'spec', '.', 'Doc']"
5,336     spec.Doc = nil // doc consumed - remove from AST,"['336', 'spec', '.', 'Doc', '=', 'nil', '//', 'doc', 'consumed', '-', 'remove', 'from', 'AST']"
6,337     if doc == nil {,"['337', 'if', 'doc', '==', 'nil', '{']"
7,"338         // no doc associated with the spec, use the declaration doc, if any","['338', '//', 'no', 'doc', 'associated', 'with', 'the', 'spec', ',', 'use', 'the', 'declaration', 'doc', ',', 'if', 'any']"
8,339         doc = decl.Doc,"['339', 'doc', '=', 'decl', '.', 'Doc']"
9,340     },"['340', '}']"
10,...,['...']
11,"

Notice in particular how it needs to deal with the case where the AST does not have a doc attached to the TypeSpec. To do this, it falls back on the GenDecl. This gives us a clue as to how we might use the AST directly to parse doc comments for structs. Adapting the for loop in the question code to add a case for *ast.GenDecl:

","['Notice', 'in', 'particular', 'how', 'it', 'needs', 'to', 'deal', 'with', 'the', 'case', 'where', 'the', 'AST', 'does', 'not', 'have', 'a', 'doc', 'attached', 'to', 'the', 'TypeSpec', '.', 'To', 'do', 'this', ',', 'it', 'falls', 'back', 'on', 'the', 'GenDecl', '.', 'This', 'gives', 'us', 'a', 'clue', 'as', 'to', 'how', 'we', 'might', 'use', 'the', 'AST', 'directly', 'to', 'parse', 'doc', 'comments', 'for', 'structs', '.', 'Adapting', 'the', 'for', 'loop', 'in', 'the', 'question', 'code', 'to', 'add', 'a', 'case', 'for', '*ast.GenDecl:']"
12,"for _, f := range d {","['for', '_', ',', 'f', ':=', 'range', 'd', '{']"
13,"    ast.Inspect(f, func(n ast.Node) bool {","['ast.Inspect(f, func(n ast.Node)', 'bool', '{']"
14,        switch x := n.(type) {,"['switch', 'x', ':=', 'n', '.(', 'type', ')', '{']"
15,        case *ast.FuncDecl:,"['case', '*', 'ast', '.', 'FuncDecl', ':']"
16,"            fmt.Printf(""%s:\tFuncDecl %s\t%s\n"", fset.Position(n.Pos()), x.Name, x.Doc.Text())","['fmt.Printf(""%s:\\tFuncDecl %s\\t%s\\n"", fset.Position(n.Pos()), x.Name, x.Doc.Text())']"
17,        case *ast.TypeSpec:,"['case', '*', 'ast', '.', 'TypeSpec', ':']"
18,"            fmt.Printf(""%s:\tTypeSpec %s\t%s\n"", fset.Position(n.Pos()), x.Name, x.Doc.Text())","['fmt.Printf(""%s:\\tTypeSpec %s\\t%s\\n"", fset.Position(n.Pos()), x.Name, x.Doc.Text())']"
19,        case *ast.Field:,"['case', '*', 'ast', '.', 'Field', ':']"
20,"            fmt.Printf(""%s:\tField %s\t%s\n"", fset.Position(n.Pos()), x.Names, x.Doc.Text())","['fmt.Printf(""%s:\\tField %s\\t%s\\n"", fset.Position(n.Pos()), x.Names, x.Doc.Text())']"
21,        case *ast.GenDecl:,"['case', '*', 'ast', '.', 'GenDecl', ':']"
22,"            fmt.Printf(""%s:\tGenDecl %s\n"", fset.Position(n.Pos()), x.Doc.Text())","['fmt.Printf(""%s:\\tGenDecl %s\\n"", fset.Position(n.Pos()), x.Doc.Text())']"
23,        },['}']
24,        return true,"['return', 'true']"
25,    }),['})']
26,},['}']
27,"

Running this gives us:

","['Running', 'this', 'gives', 'us', ':']"
28,main.go:3:1:    GenDecl %!s(*ast.CommentGroup=),"['main', '.', 'go', ':', '3', ':', '1', ':', 'GenDecl', '%!', 's(*ast.CommentGroup=)']"
29,main.go:11:1:   GenDecl &{[%!s(*ast.Comment=&{69 // FirstType docs})]},"['main', '.', 'go', ':', '11', ':', '1', ':', 'GenDecl', '&{[%!', 's(*ast.Comment=&{69 // FirstType docs})', ']}']"
30,main.go:11:6:   TypeSpec FirstType  %!s(*ast.CommentGroup=),"['main', '.', 'go', ':', '11', ':', '6', ':', 'TypeSpec', 'FirstType', '%!', 's(*ast.CommentGroup=)']"
31,main.go:13:2:   Field [FirstMember] &{[%!s(*ast.Comment=&{112 // FirstMember docs})]},"['main', '.', 'go', ':', '13', ':', '2', ':', 'Field', '[', 'FirstMember', ']', '&{[%!', 's(*ast.Comment=&{112 // FirstMember docs})', ']}']"
32,main.go:17:1:   GenDecl &{[%!s(*ast.Comment=&{155 // SecondType docs})]},"['main', '.', 'go', ':', '17', ':', '1', ':', 'GenDecl', '&{[%!', 's(*ast.Comment=&{155 // SecondType docs})', ']}']"
33,main.go:17:6:   TypeSpec SecondType %!s(*ast.CommentGroup=),"['main', '.', 'go', ':', '17', ':', '6', ':', 'TypeSpec', 'SecondType', '%!', 's(*ast.CommentGroup=)']"
34,main.go:19:2:   Field [SecondMember]    &{[%!s(*ast.Comment=&{200 // SecondMember docs})]},"['main', '.', 'go', ':', '19', ':', '2', ':', 'Field', '[', 'SecondMember', ']', '&{[%!', 's(*ast.Comment=&{200 // SecondMember docs})', ']}']"
35,main.go:23:1:   FuncDecl main   &{[%!s(*ast.Comment=&{245 // Main docs})]},"['main', '.', 'go', ':', '23', ':', '1', ':', 'FuncDecl', 'main', '&{[%!', 's(*ast.Comment=&{245 // Main docs})', ']}']"
36,main.go:33:23:  Field [n]   %!s(*ast.CommentGroup=),"['main', '.', 'go', ':', '33', ':', '23', ':', 'Field', '[', 'n', ']', '%!', 's(*ast.CommentGroup=)']"
37,main.go:33:35:  Field []    %!s(*ast.CommentGroup=),"['main', '.', 'go', ':', '33', ':', '35', ':', 'Field', '[]', '%!', 's(*ast.CommentGroup=)']"
