,text,token
0,"One solution is to make use of the html/template functionality, create all your pages to include the same  section like below.  I would however leave room to add tags to your head by leaving the  in each of your pages.

","['One', 'solution', 'is', 'to', 'make', 'use', 'of', 'the', 'html/template', 'functionality', ',', 'create', 'all', 'your', 'pages', 'to', 'include', 'the', 'same', 'section', 'like', 'below', '.', 'I', 'would', 'however', 'leave', 'room', 'to', 'add', 'tags', 'to', 'your', 'head', 'by', 'leaving', 'the', 'in', 'each', 'of', 'your', 'pages', '.']"
1,"{{define ""page_template""}}","['{{', 'define', '""page_template""', '}}']"
2,    My page template,"['My', 'page', 'template']"
3,"    {{template ""template_css""}}","['{{', 'template', '""template_css""', '}}']"
4,    ,[]
5,    ,[]
6,... etc ...,"['...', 'etc', '...']"
7,"

And the template_css:

","['And', 'the', 'template_css', ':']"
8,"{{define ""template_css""}}","['{{', 'define', '""template_css""', '}}']"
9,{{end}},"['{{', 'end', '}}']"
10,"

A snippet of code for the template parsing

","['A', 'snippet', 'of', 'code', 'for', 'the', 'template', 'parsing']"
11,"tp, err := template.ParseFiles(""page_template.html"", ""template_css.tp"")","['tp', ',', 'err', ':=', 'template.ParseFiles(""page_template.html"", ""template_css.tp"")']"
12,"err = tp.ExecuteTemplate(buf, ""page_template"", templateParameters)","['err', '=', 'tp.ExecuteTemplate(buf, ""page_template"", templateParameters)']"
