,text,token
0,"With slice value type

map is a good choice if you need fast lookup, but since you want to store multiple values for the same key, that warrants for a slice as the value type:

","['With', 'slice', 'value', 'type', 'map', 'is', 'a', 'good', 'choice', 'if', 'you', 'need', 'fast', 'lookup,', 'but', 'since', 'you', 'want', 'to', 'store', 'multiple', 'values', 'for', 'the', 'same', 'key,', 'that', 'warrants', 'for', 'a', 'slice', 'as', 'the', 'value', 'type:']"
1,m := map[int][]interface{}{},"['m', ':=', 'map', '[', 'int', '][]', 'interface', '{}{}']"
2,"m[1] = append(m[1], ""one"")","['m', '[', '1', ']', '=', 'append', '(', 'm', '[', '1', '],', '""one""', ')']"
3,"m[2] = append(m[2], ""two"")","['m', '[', '2', ']', '=', 'append', '(', 'm', '[', '2', '],', '""two""', ')']"
4,"m[1] = append(m[1], ""three"")","['m', '[', '1', ']', '=', 'append', '(', 'm', '[', '1', '],', '""three""', ')']"
5,fmt.Println(m[1]),['fmt.Println(m[1])']
6,"

Output (try it on the Go Playground):

[one three]


Note that using this map is a little less convenient, as when you want to add a new value you don't (can't) just assign it but you have to append to the existing slice associated with the key, and you have to assign back the (potentially) new slice.

To ease this ""pain"", you may create your own type and provide helper methods to support different operations on the map. This is also true for the subsequent alternatives, so being a little more verbose does not necessarily mean you have to struggle with it.

With pointer to slice value type

Note that you could avoid having to reassign the new slice if you would store pointers in the map, for example:

","['Output', '(try', 'it', 'on', 'the', 'Go', 'Playground):', '[one', 'three]', 'Note', 'that', 'using', 'this', 'map', 'is', 'a', 'little', 'less', 'convenient,', 'as', 'when', 'you', 'want', 'to', 'add', 'a', 'new', 'value', 'you', ""don't"", ""(can't)"", 'just', 'assign', 'it', 'but', 'you', 'have', 'to', 'append', 'to', 'the', 'existing', 'slice', 'associated', 'with', 'the', 'key,', 'and', 'you', 'have', 'to', 'assign', 'back', 'the', '(potentially)', 'new', 'slice.', 'To', 'ease', 'this', '""pain"",', 'you', 'may', 'create', 'your', 'own', 'type', 'and', 'provide', 'helper', 'methods', 'to', 'support', 'different', 'operations', 'on', 'the', 'map.', 'This', 'is', 'also', 'true', 'for', 'the', 'subsequent', 'alternatives,', 'so', 'being', 'a', 'little', 'more', 'verbose', 'does', 'not', 'necessarily', 'mean', 'you', 'have', 'to', 'struggle', 'with', 'it.', 'With', 'pointer', 'to', 'slice', 'value', 'type', 'Note', 'that', 'you', 'could', 'avoid', 'having', 'to', 'reassign', 'the', 'new', 'slice', 'if', 'you', 'would', 'store', 'pointers', 'in', 'the', 'map,', 'for', 'example:']"
7,m := map[int]*[]interface{}{},"['m', ':=', 'map', '[', 'int', ']*[]', 'interface', '{}{}']"
8,m[1] = &[]interface{}{},"['m', '[', '1', ']', '=', '&[]', 'interface', '{}{}']"
9,m[2] = &[]interface{}{},"['m', '[', '2', ']', '=', '&[]', 'interface', '{}{}']"
10,s := m[1],"['s', ':=', 'm', '[', '1', ']']"
11,"*s = append(*s, ""one"")","['*', 's', '=', 'append', '(*', 's', ',', '""one""', ')']"
12,s = m[2],"['s', '=', 'm', '[', '2', ']']"
13,"*s = append(*s, ""two"")","['*', 's', '=', 'append', '(*', 's', ',', '""two""', ')']"
14,s = m[1],"['s', '=', 'm', '[', '1', ']']"
15,"*s = append(*s, ""three"")","['*', 's', '=', 'append', '(*', 's', ',', '""three""', ')']"
16,fmt.Println(m[1]),['fmt.Println(m[1])']
