,text,token
0,"You just have defined a recursive data type. You can render it by defining a recursive template:

","['You', 'just', 'have', 'defined', 'a', 'recursive', 'data', 'type.', 'You', 'can', 'render', 'it', 'by', 'defining', 'a', 'recursive', 'template:']"
1,"{{define ""replies""}}","['{{', 'define', '""replies""', '}}']"
2,  ,[]
3,"    {{ range $key, $value := . }}","['{{', 'range', '$', 'key', ',', '$', 'value', ':=', '.', '}}']"
4,      ,[]
5,        ,[]
6,          {{ $value.ID }},"['{{', '$', 'value', '.', 'ID', '}}']"
7,        ,[]
8,        {{ $value.PostNum }},"['{{', '$', 'value', '.', 'PostNum', '}}']"
9,      ,[]
10,"      {{template ""replies"" .Replies}}","['{{', 'template', '""replies""', '.', 'Replies', '}}']"
11,    {{end}},"['{{', 'end', '}}']"
12,  ,[]
13,{{end}},"['{{', 'end', '}}']"
14,  {{ .Title  }},"['{{', '.', 'Title', '}}']"
15,  {{ .Body  }},"['{{', '.', 'Body', '}}']"
16,"  {{ template ""replies"" .Replies }}","['{{', 'template', '""replies""', '.', 'Replies', '}}']"
