,text,token
0,"I'm learning Go programming and try to test the following average function:

","[""I'm"", 'learning', 'Go', 'programming', 'and', 'try', 'to', 'test', 'the', 'following', 'average', 'function:']"
1,func average(xs []float64) float64 {,"['func', 'average', '(', 'xs', '[]', 'float64', ')', 'float64', '{']"
2,    total := 0.0,"['total', ':=', '0', '.', '0']"
3,"    for _, v := range xs {","['for', '_', ',', 'v', ':=', 'range', 'xs', '{']"
4,        total += v,"['total', '+=', 'v']"
5,    },['}']
6,    return total / float64(len(xs)),"['return', 'total', '/', 'float64', '(', 'len', '(', 'xs', '))']"
7,},['}']
8,"

I tried to generate a slice of random float numbers by:

","['I', 'tried', 'to', 'generate', 'a', 'slice', 'of', 'random', 'float', 'numbers', 'by:']"
9,var xs []float64,"['var', 'xs', '[]', 'float64']"
10,for n := 0; n < 10; n++ {,"['for', 'n', ':=', '0', ';', 'n', '<', '10', ';', 'n', '++', '{']"
11,    xs[n] = rand.Float64(),"['xs', '[', 'n', ']', '=', 'rand.Float64()']"
12,},['}']
13,"

however, I got 

","['however,', 'I', 'got']"
14,panic: runtime error: index out of range,"['panic', ':', 'runtime', 'error', ':', 'index', 'out', 'of', 'range']"
15,"

Question:


How to generate a slice of random number in Golang?
Is expression or function call, like ","['Question:', 'How', 'to', 'generate', 'a', 'slice', 'of', 'random', 'number', 'in', 'Golang?', 'Is', 'expression', 'or', 'function', 'call,', 'like']"
16,xs := []float64 { for ... },"['xs', ':=', '[]', 'float64', '{', 'for', '...', '}']"
17," allowed in slice literals?

","['allowed', 'in', 'slice', 'literals?']"
