,text,token
0,"I am developing a server with the latest Go GAE SDK. I am running tests after every change:

","['I', 'am', 'developing', 'a', 'server', 'with', 'the', 'latest', 'Go', 'GAE', 'SDK.', 'I', 'am', 'running', 'tests', 'after', 'every', 'change:']"
1,goapp test -test.v=true,"['go', 'app', 'test', '-', 'test', '.', 'v', '=', 'true']"
2,"

I am using -cover to record coverage as described by goapp help testflag:

","['I', 'am', 'using', '-cover', 'to', 'record', 'coverage', 'as', 'described', 'by', 'goapp', 'help', 'testflag:']"
3,goapp test -cover -test.v=true -test.coverprofile=c.out,"['go', 'app', 'test', '-', 'cover', '-', 'test', '.', 'v', '=', 'true', '-', 'test', '.', 'coverprofile', '=', 'c', '.', 'out']"
4,[..],['[..]']
5,coverage: 53.8% of statements,"['coverage', ':', '53', '.', '8', '%', 'of', 'statements']"
6,ok      _/var/lib/jenkins/jobs/loyalty/workspace    30.464s,"['ok', '_/var/lib/jenkins/jobs/loyalty/workspace', '30', '.', '464', 's']"
7,"

This completes successfully and prints the percentage of lines covered by tests. However, attempting to visualize the results fails:

","['This', 'completes', 'successfully', 'and', 'prints', 'the', 'percentage', 'of', 'lines', 'covered', 'by', 'tests.', 'However,', 'attempting', 'to', 'visualize', 'the', 'results', 'fails:']"
8,goapp tool cover -html=c.out,"['go', 'app', 'tool', 'cover', '-', 'html', '=', 'c', '.', 'out']"
9,"cover: can't find ""app.go"": cannot find package ""_/home/ingo/git/loyalty/"" in any of:","['cover', ':', 'can', 't', 'find', '""app.go""', ':', 'cannot', 'find', 'package', '""_/home/ingo/git/loyalty/""', 'in', 'any', 'of', ':']"
10,/home/ingo/Downloads/go_appengine_sdk_linux_amd64-1.9.10/go_appengine/goroot/src/pkg/_/home/ingo/git/loyalty (from $GOROOT),"['/home/ingo/Downloads/go_appengine_sdk_linux_amd64-1.9.10/go_appengine/goroot/src/pkg/_/home/ingo/git/loyalty', '(', 'from', '$', 'GOROOT', ')']"
11,/home/ingo/git/loyalty/src/_/home/ingo/git/loyalty (from $GOPATH),"['/home/ingo/git/loyalty/src/_/home/ingo/git/loyalty', '(', 'from', '$', 'GOPATH', ')']"
12,"

Does Go's cover tool only work on non-GAE apps? Do I have to package my app differently in order to visualize the coverage results?

I unsuccessfully asked this on golang-nuts before.
","['Does', ""Go's"", 'cover', 'tool', 'only', 'work', 'on', 'non-GAE', 'apps?', 'Do', 'I', 'have', 'to', 'package', 'my', 'app', 'differently', 'in', 'order', 'to', 'visualize', 'the', 'coverage', 'results?', 'I', 'unsuccessfully', 'asked', 'this', 'on', 'golang-nuts', 'before.']"
